Date,Block,Pop,TimeIso,Iso,StrainID,Rep,Time,Dil,qCFU,qTiter,refCFU,refTiter,Notes
20220921,A,X,X,X,WT,1,0,4,174,1.74E+07,254,2.54E+07,manY ref
20220921,A,X,X,X,WT,2,0,4,229,2.29E+07,287,2.87E+07,
20220921,A,X,X,X,WT,3,0,4,265,2.65E+07,278,2.78E+07,
20220921,A,X,X,X,WT,4,0,4,211,2.11E+07,276,2.76E+07,
20220921,A,2,3,1,T3-1,1,0,4,542,5.42E+07,27,2.70E+06,
20220921,A,2,3,1,T3-1,2,0,4,363,3.63E+07,15,1.50E+06,
20220921,A,2,3,1,T3-1,3,0,4,586,5.86E+07,17,1.70E+06,
20220921,A,2,3,1,T3-1,4,0,4,451,4.51E+07,16,1.60E+06,
20220921,A,2,9,1,T9-1,1,0,4,430,4.30E+07,29,2.90E+06,
20220921,A,2,9,1,T9-1,2,0,4,316,3.16E+07,13,1.30E+06,
20220921,A,2,9,1,T9-1,3,0,4,366,3.66E+07,15,1.50E+06,
20220921,A,2,9,1,T9-1,4,0,4,248,2.48E+07,11,1.10E+06,
20220921,A,2,12,11,T12-11,1,0,4,431,4.31E+07,15,1.50E+06,
20220921,A,2,12,11,T12-11,2,0,4,388,3.88E+07,15,1.50E+06,
20220921,A,2,12,11,T12-11,3,0,4,336,3.36E+07,12,1.20E+06,
20220921,A,2,12,11,T12-11,4,0,4,273,2.73E+07,13,1.30E+06,
20220927,B,2,18,5,T18-5,1,0,4,306,30600000,8,800000,
20220927,B,2,18,5,T18-5,2,0,4,195,19500000,7,700000,
20220927,B,2,18,5,T18-5,3,0,4,333,33300000,6,600000,
20220927,B,2,18,5,T18-5,4,0,4,249,24900000,8,800000,
20220921,A,2,21,1,T21-1,1,0,4,239,2.39E+07,16,1.60E+06,
20220921,A,2,21,1,T21-1,2,0,4,284,2.84E+07,8,8.00E+05,
20220921,A,2,21,1,T21-1,3,0,4,303,3.03E+07,18,1.80E+06,
20220921,A,2,21,1,T21-1,4,0,4,228,2.28E+07,14,1.40E+06,
20220922,A,X,X,X,WT,1,1,6,341,3.41E+09,292,2.92E+09,
20220922,A,X,X,X,WT,2,1,6,278,2.78E+09,219,2.19E+09,
20220922,A,X,X,X,WT,3,1,6,321,3.21E+09,254,2.54E+09,
20220922,A,X,X,X,WT,4,1,6,280,2.80E+09,249,2.49E+09,
20220922,A,2,3,1,T3-1,1,1,6,535,5.35E+09,32,3.20E+08,
20220922,A,2,3,1,T3-1,2,1,6,485,4.85E+09,18,1.80E+08,
20220922,A,2,3,1,T3-1,3,1,6,525,5.25E+09,21,2.10E+08,
20220922,A,2,3,1,T3-1,4,1,6,493,4.93E+09,38,3.80E+08,
20220922,A,2,9,1,T9-1,1,1,6,324,3.24E+09,69,6.90E+08,
20220922,A,2,9,1,T9-1,2,1,6,307,3.07E+09,60,6.00E+08,
20220922,A,2,9,1,T9-1,3,1,6,269,2.69E+09,67,6.70E+08,
20220922,A,2,9,1,T9-1,4,1,6,363,3.63E+09,52,5.20E+08,
20220922,A,2,12,11,T12-11,1,1,6,182,1.82E+09,191,1.91E+09,
20220922,A,2,12,11,T12-11,2,1,6,199,1.99E+09,175,1.75E+09,
20220922,A,2,12,11,T12-11,3,1,6,198,1.98E+09,191,1.91E+09,
20220922,A,2,12,11,T12-11,4,1,6,200,2.00E+09,192,1.92E+09,
20220928,B,2,18,5,T18-5,1,1,6,187,1870000000,111,1110000000,
20220928,B,2,18,5,T18-5,2,1,6,150,1500000000,174,1740000000,
20220928,B,2,18,5,T18-5,3,1,6,186,1860000000,113,1130000000,
20220928,B,2,18,5,T18-5,4,1,6,132,1320000000,176,1760000000,
20220922,A,2,21,1,T21-1,1,1,6,161,1.61E+09,275,2.75E+09,
20220922,A,2,21,1,T21-1,2,1,6,128,1.28E+09,269,2.69E+09,
20220922,A,2,21,1,T21-1,3,1,6,223,2.23E+09,205,2.05E+09,
20220922,A,2,21,1,T21-1,4,1,6,182,1.82E+09,255,2.55E+09,