Date,Expt,Module,Population,Timepoint,IsoHost,Isolate,Phage,IsoReceptor,PlatedHost,OriHost,PFU,Dilution,Titer,Notes
20221012,A,1,2,12,WT,1,P2T12_WT_1,All,WT,Coevol,15,5,7.50E+08,
20221012,A,1,2,15,WT,1,P2T15_WT_1,All,WT,Coevol,16,5,8.00E+08,
20221012,A,1,2,18,WT,1,P2T18_WT_1,All,WT,Coevol,7,5,3.50E+08,
20221012,A,2,2,21,L-F-,1,P2T21_L-F-_1,OmpC,WT,Coevol,5,6,2.50E+09,
20221012,A,1,2,12,WT,1,P2T12_WT_1,All,T12_12,Coevol,5,5,2.50E+08,
20221012,A,1,2,15,WT,1,P2T15_WT_1,All,T12_12,Coevol,6,5,3.00E+08,
20221012,A,1,2,18,WT,1,P2T18_WT_1,All,T12_12,Coevol,20,4,1.00E+08,
20221012,A,2,2,21,L-F-,1,P2T21_L-F-_1,OmpC,T12_12,Coevol,18,0,9.00E+03,
20221012,A,1,2,12,WT,1,P2T12_WT_1,All,T15_8,Coevol,0,0,0.00E+00,
20221012,A,1,2,15,WT,1,P2T15_WT_1,All,T15_8,Coevol,17,4,8.50E+07,
20221012,A,1,2,18,WT,1,P2T18_WT_1,All,T15_8,Coevol,6,5,3.00E+08,
20221012,A,2,2,21,L-F-,1,P2T21_L-F-_1,OmpC,T15_8,Coevol,0,0,0.00E+00,
20221012,A,1,2,12,WT,1,P2T12_WT_1,All,T21_2,Coevol,0,0,0.00E+00,
20221012,A,1,2,15,WT,1,P2T15_WT_1,All,T21_2,Coevol,0,0,0.00E+00,
20221012,A,1,2,18,WT,1,P2T18_WT_1,All,T21_2,Coevol,0,0,0.00E+00,
20221012,A,2,2,21,L-F-,1,P2T21_L-F-_1,OmpC,T21_2,Coevol,0,0,0.00E+00,
20221012,A,1,2,12,WT,1,P2T12_WT_1,All,T15_14,Coevol,0,0,0.00E+00,
20221012,A,1,2,15,WT,1,P2T15_WT_1,All,T15_14,Coevol,8,0,4.00E+03,
20221012,A,1,2,18,WT,1,P2T18_WT_1,All,T15_14,Coevol,0,0,0.00E+00,
20221012,A,2,2,21,L-F-,1,P2T21_L-F-_1,OmpC,T15_14,Coevol,15,4,7.50E+07,
20221012,A,1,2,12,WT,1,P2T12_WT_1,All,JB195,Eng,15,5,7.50E+08,
20221012,A,1,2,15,WT,1,P2T15_WT_1,All,JB195,Eng,8,5,4.00E+08,
20221012,A,1,2,18,WT,1,P2T18_WT_1,All,JB195,Eng,3,5,1.50E+08,
20221012,A,2,2,21,L-F-,1,P2T21_L-F-_1,OmpC,JB195,Eng,23,0,1.15E+04,
20221012,A,1,2,12,WT,1,P2T12_WT_1,All,JB196,Eng,0,0,0.00E+00,
20221012,A,1,2,15,WT,1,P2T15_WT_1,All,JB196,Eng,7,1,3.50E+04,
20221012,A,1,2,18,WT,1,P2T18_WT_1,All,JB196,Eng,0,0,0.00E+00,
20221012,A,2,2,21,L-F-,1,P2T21_L-F-_1,OmpC,JB196,Eng,11,4,5.50E+07,
20221012,A,1,2,12,WT,1,P2T12_WT_1,All,JB198,Eng,4,5,2.00E+08,
20221012,A,1,2,15,WT,1,P2T15_WT_1,All,JB198,Eng,28,4,1.40E+08,
20221012,A,1,2,18,WT,1,P2T18_WT_1,All,JB198,Eng,4,5,2.00E+08,
20221012,A,2,2,21,L-F-,1,P2T21_L-F-_1,OmpC,JB198,Eng,29,0,1.45E+04,
20221012,A,1,2,12,WT,1,P2T12_WT_1,All,JB200,Eng,0,0,0.00E+00,
20221012,A,1,2,15,WT,1,P2T15_WT_1,All,JB200,Eng,0,0,0.00E+00,
20221012,A,1,2,18,WT,1,P2T18_WT_1,All,JB200,Eng,8,4,4.00E+07,
20221012,A,2,2,21,L-F-,1,P2T21_L-F-_1,OmpC,JB200,Eng,0,0,0.00E+00,
20221012,B,X,2,0,WT,X,Anc,X,WT,Coevol,23,6,1.15E+10,
20221012,B,X,2,3,L-F-,2,P2T3_L-F-_2,All,WT,Coevol,4,6,2.00E+09,
20221012,B,X,2,9,WT,3,P2T9_WT_3,All,WT,Coevol,16,5,8.00E+08,
20221012,B,X,2,0,WT,X,Anc,X,T3_1,Coevol,0,0,0.00E+00,
20221012,B,X,2,3,L-F-,2,P2T3_L-F-_2,All,T3_1,Coevol,7,6,3.50E+09,
20221012,B,X,2,9,WT,3,P2T9_WT_3,All,T3_1,Coevol,13,5,6.50E+08,
20221012,B,X,2,0,WT,X,Anc,X,T9_1,Coevol,0,0,0.00E+00,
20221012,B,X,2,3,L-F-,2,P2T3_L-F-_2,All,T9_1,Coevol,0,0,0.00E+00,
20221012,B,X,2,9,WT,3,P2T9_WT_3,All,T9_1,Coevol,6,5,3.00E+08,
20221012,B,X,2,0,WT,X,Anc,X,JB2,Eng,0,0,0.00E+00,
20221012,B,X,2,3,L-F-,2,P2T3_L-F-_2,All,JB2,Eng,3,6,1.50E+09,
20221012,B,X,2,9,WT,3,P2T9_WT_3,All,JB2,Eng,15,5,7.50E+08,
20221012,B,X,2,0,WT,X,Anc,X,JB191,Eng,0,0,0.00E+00,
20221012,B,X,2,3,L-F-,2,P2T3_L-F-_2,All,JB191,Eng,0,0,0.00E+00,
20221012,B,X,2,9,WT,3,P2T9_WT_3,All,JB191,Eng,15,4,7.50E+07,