Phage,Color
P2T3_WT_1,1
P2T3_WT_2,1
P2T3_WT_3,1
P2T3_C-F-_1,1
P2T3_C-F-_2,1
P2T3_C-F-_3,1
P2T3_L-F-_1,1
P2T3_L-F-_2,1
P2T3_L-F-_3,1
P2T6_WT_1,2
P2T6_WT_2,2
P2T6_WT_3,2
P2T6_C-F-_1,2
P2T6_C-F-_2,2
P2T6_C-F-_3,2
P2T6_L-F-_1,2
P2T6_L-F-_2,2
P2T6_L-F-_3,2
P2T9_WT_1,3
P2T9_WT_2,3
P2T9_WT_3,3
P2T9_C-F-_1,3
P2T9_C-F-_2,3
P2T9_C-F-_3,3
P2T9_L-F-_1,3
P2T9_L-F-_2,3
P2T9_L-F-_3,3
P2T9_L-C-_1,3
P2T9_L-C-_2,3
P2T9_L-C-_3,3
P2T12_WT_1,4
P2T12_WT_2,4
P2T12_WT_3,4
P2T12_C-F-_1,4
P2T12_C-F-_2,4
P2T12_C-F-_3,4
P2T12_L-F-_1,4
P2T12_L-F-_2,4
P2T12_L-F-_3,4
P2T12_L-C-_1,4
P2T12_L-C-_2,4
P2T12_L-C-_3,4
P2T15_WT_1,5
P2T15_WT_2,5
P2T15_WT_3,5
P2T15_C-F-_1,5
P2T15_C-F-_2,5
P2T15_C-F-_3,5
P2T15_L-F-_1,5
P2T15_L-F-_2,5
P2T15_L-F-_3,5
P2T15_L-C-_1,5
P2T15_L-C-_2,5
P2T15_L-C-_3,5
P2T18_WT_1,6
P2T18_WT_2,6
P2T18_WT_3,6
P2T18_C-F-_1,6
P2T18_C-F-_2,6
P2T18_C-F-_3,6
P2T18_L-C-_1,6
P2T18_L-C-_2,6
P2T18_L-C-_3,6
P2T21_WT_1,7
P2T21_WT_2,7
P2T21_WT_3,7
P2T21_C-F-_1,7
P2T21_C-F-_2,7
P2T21_C-F-_3,7
P2T21_L-F-_1,7
P2T21_L-F-_2,7
P2T21_L-F-_3,7
P2T21_L-C-_1,7
P2T21_L-C-_2,7
P2T21_L-C-_3,7